Actinomucor_elegans_NRRL_13011_R1.fq.gz	Actinomucor_elegans_NRRL_13011_R2.fq.gz	Actinomucor_elegans_NRRL_13011.merge.fa	PSH80	NRRL_13011
Actinomucor_elegans_NRRL_1403_R1.fq.gz	Actinomucor_elegans_NRRL_1403_R2.fq.gz	Actinomucor_elegans_NRRL_1403.merge.fa	PSH81	NRRL_1403
Actinomucor_elegans_NRRL_1706_R1.fq.gz	Actinomucor_elegans_NRRL_1706_R2.fq.gz	Actinomucor_elegans_NRRL_1706.merge.fa	PSH82	NRRL_1706
Actinomucor_elegans_NRRL_3104_R1.fq.gz	Actinomucor_elegans_NRRL_3104_R2.fq.gz	Actinomucor_elegans_NRRL_3104.merge.fa	PSH83	NRRL_3104
Actinomucor_elegans_NRRL_6572_R1.fq.gz	Actinomucor_elegans_NRRL_6572_R2.fq.gz	Actinomucor_elegans_NRRL_6572.merge.fa	PSH84	NRRL_6572
Actinomucor_sp._NRRL_A-23671_R1.fq.gz	Actinomucor_sp._NRRL_A-23671_R2.fq.gz	Actinomucor_sp._NRRL_A-23671.merge.fa	PSH85	NRRL_A-23671
Alternaria_sp._NRRL_15289_R1.fq.gz	Alternaria_sp._NRRL_15289_R2.fq.gz	Alternaria_sp._NRRL_15289.merge.fa	PSH86	NRRL_15289
Amylomyces_rouxii_NRRL_3160_R1.fq.gz	Amylomyces_rouxii_NRRL_3160_R2.fq.gz	Amylomyces_rouxii_NRRL_3160.merge.fa	PSH87	NRRL_3160
Amylomyces_rouxii_NRRL_5192_R1.fq.gz	Amylomyces_rouxii_NRRL_5192_R2.fq.gz	Amylomyces_rouxii_NRRL_5192.merge.fa	PSH88	NRRL_5192
Amylomyces_rouxii_NRRL_A-25885_R1.fq.gz	Amylomyces_rouxii_NRRL_A-25885_R2.fq.gz	Amylomyces_rouxii_NRRL_A-25885.merge.fa	PSH89	NRRL_A-25885
Amylomyces_rouxii_NRRL_A-26221_R1.fq.gz	Amylomyces_rouxii_NRRL_A-26221_R2.fq.gz	Amylomyces_rouxii_NRRL_A-26221.merge.fa	PSH90	NRRL_A-26221
Apophysomyces_ossiformis_NRRL_A-21654_R1.fq.gz	Apophysomyces_ossiformis_NRRL_A-21654_R2.fq.gz	Apophysomyces_ossiformis_NRRL_A-21654.merge.fa	PSH91	NRRL_A-21654
Apophysomyces_sp._BC1015_R1.fq.gz	Apophysomyces_sp._BC1015_R2.fq.gz	Apophysomyces_sp._BC1015.merge.fa	PSH92	BC1015
Apophysomyces_sp._BC1021_R1.fq.gz	Apophysomyces_sp._BC1021_R2.fq.gz	Apophysomyces_sp._BC1021.merge.fa	PSH93	BC1021
Apophysomyces_sp._BC1034_R1.fq.gz	Apophysomyces_sp._BC1034_R2.fq.gz	Apophysomyces_sp._BC1034.merge.fa	PSH94	BC1034
Backusella_circina_NRRL_2446_R1.fq.gz	Backusella_circina_NRRL_2446_R2.fq.gz	Backusella_circina_NRRL_2446.merge.fa	PSH95	NRRL_2446
Backusella_circina_NRRL_3293_R1.fq.gz	Backusella_circina_NRRL_3293_R2.fq.gz	Backusella_circina_NRRL_3293.merge.fa	PSH96	NRRL_3293
Backusella_circina_NRRL_6007_R1.fq.gz	Backusella_circina_NRRL_6007_R2.fq.gz	Backusella_circina_NRRL_6007.merge.fa	PSH97	NRRL_6007
Backusella_circina_NRRL_A-17781_R1.fq.gz	Backusella_circina_NRRL_A-17781_R2.fq.gz	Backusella_circina_NRRL_A-17781.merge.fa	PSH98	NRRL_A-17781
Backusella_ctenidia_NRRL_6239_R1.fq.gz	Backusella_ctenidia_NRRL_6239_R2.fq.gz	Backusella_ctenidia_NRRL_6239.merge.fa	PSH99	NRRL_6239
Backusella_lamprospora_NRRL_1401_R1.fq.gz	Backusella_lamprospora_NRRL_1401_R2.fq.gz	Backusella_lamprospora_NRRL_1401.merge.fa	PSH100	NRRL_1401
Backusella_lamprospora_NRRL_3103_R1.fq.gz	Backusella_lamprospora_NRRL_3103_R2.fq.gz	Backusella_lamprospora_NRRL_3103.merge.fa	PSH101	NRRL_3103
Backusella_lamprospora_NRRL_3618_R1.fq.gz	Backusella_lamprospora_NRRL_3618_R2.fq.gz	Backusella_lamprospora_NRRL_3618.merge.fa	PSH102	NRRL_3618
Backusella_lamprospora_NRRL_3619_R1.fq.gz	Backusella_lamprospora_NRRL_3619_R2.fq.gz	Backusella_lamprospora_NRRL_3619.merge.fa	PSH103	NRRL_3619
Backusella_lamprospora_NRRL_6044+_R1.fq.gz	Backusella_lamprospora_NRRL_6044+_R2.fq.gz	Backusella_lamprospora_NRRL_6044+.merge.fa	PSH104	NRRL_6044_Plus
Basidiobolus_heterosporus_ARSEF_8332_R1.fq.gz	Basidiobolus_heterosporus_ARSEF_8332_R2.fq.gz	Basidiobolus_heterosporus_ARSEF_8332.merge.fa	PSH105	ARSEF_8332
Basidiobolus_ranarum_AGB5_R1.fq.gz	Basidiobolus_ranarum_AGB5_R2.fq.gz	Basidiobolus_ranarum_AGB5.merge.fa	PSH106	AGB5
Benjaminiella_youngii_IMI_325629_R1.fq.gz	Benjaminiella_youngii_IMI_325629_R2.fq.gz	Benjaminiella_youngii_IMI_325629.merge.fa	PSH107	IMI_325629
Blakeslea_trispora_NRRL_2456_R1.fq.gz	Blakeslea_trispora_NRRL_2456_R2.fq.gz	Blakeslea_trispora_NRRL_2456.merge.fa	PSH108	NRRL_2456
Chaetocladium_brefeldii_NRRL_1350_R1.fq.gz	Chaetocladium_brefeldii_NRRL_1350_R2.fq.gz	Chaetocladium_brefeldii_NRRL_1350.merge.fa	PSH109	NRRL_1350
Chaetocladium_brefeldii_NRRL_2508_R1.fq.gz	Chaetocladium_brefeldii_NRRL_2508_R2.fq.gz	Chaetocladium_brefeldii_NRRL_2508.merge.fa	PSH110	NRRL_2508
Chaetocladium_brefeldii_RSA_1136-_R1.fq.gz	Chaetocladium_brefeldii_RSA_1136-_R2.fq.gz	Chaetocladium_brefeldii_RSA_1136-.merge.fa	PSH111	RSA_1136-
Chaetocladium_brefeldii_Tieghem_Le_Monnier_NRRL_2509_R1.fq.gz	Chaetocladium_brefeldii_Tieghem_Le_Monnier_NRRL_2509_R2.fq.gz	Chaetocladium_brefeldii_Tieghem_Le_Monnier_NRRL_2509.merge.fa	PSH112	NRRL_2509
Chaetocladium_jonesii_RSA_772_R1.fq.gz	Chaetocladium_jonesii_RSA_772_R2.fq.gz	Chaetocladium_jonesii_RSA_772.merge.fa	PSH113	RSA_772
Chaetocladium_sp._NRRL_2844_R1.fq.gz	Chaetocladium_sp._NRRL_2844_R2.fq.gz	Chaetocladium_sp._NRRL_2844.merge.fa	PSH114	NRRL_2844
Chaetocladium_sp._NRRL_3029_R1.fq.gz	Chaetocladium_sp._NRRL_3029_R2.fq.gz	Chaetocladium_sp._NRRL_3029.merge.fa	PSH115	NRRL_3029
Choanephora_circinans_NRRL_2546_R1.fq.gz	Choanephora_circinans_NRRL_2546_R2.fq.gz	Choanephora_circinans_NRRL_2546.merge.fa	PSH116	NRRL_2546
Circinella_angarensis_NRRL_1594_R1.fq.gz	Circinella_angarensis_NRRL_1594_R2.fq.gz	Circinella_angarensis_NRRL_1594.merge.fa	PSH117	NRRL_1594
Circinella_angarensis_NRRL_2410_R1.fq.gz	Circinella_angarensis_NRRL_2410_R2.fq.gz	Circinella_angarensis_NRRL_2410.merge.fa	PSH118	NRRL_2410
Circinella_angarensis_NRRL_2628_R1.fq.gz	Circinella_angarensis_NRRL_2628_R2.fq.gz	Circinella_angarensis_NRRL_2628.merge.fa	PSH119	NRRL_2628
Circinella_angarensis_RSA_198+_R1.fq.gz	Circinella_angarensis_RSA_198+_R2.fq.gz	Circinella_angarensis_RSA_198+.merge.fa	PSH120	RSA_198_Plus
Circinella_angarensis_RSA_618-_R1.fq.gz	Circinella_angarensis_RSA_618-_R2.fq.gz	Circinella_angarensis_RSA_618-.merge.fa	PSH121	RSA_618-
Circinella_chinensis_CBS_150.53_R1.fq.gz	Circinella_chinensis_CBS_150.53_R2.fq.gz	Circinella_chinensis_CBS_150.53.merge.fa	PSH122	CBS_150.53
Circinella_chinensis_NRRL_2415_R1.fq.gz	Circinella_chinensis_NRRL_2415_R2.fq.gz	Circinella_chinensis_NRRL_2415.merge.fa	PSH123	NRRL_2415
Circinella_minor_CBS_143.56_R1.fq.gz	Circinella_minor_CBS_143.56_R2.fq.gz	Circinella_minor_CBS_143.56.merge.fa	PSH124	CBS_143.56
Circinella_minor_NRRL_1365_R1.fq.gz	Circinella_minor_NRRL_1365_R2.fq.gz	Circinella_minor_NRRL_1365.merge.fa	PSH125	NRRL_1365
Circinella_mucoroides_NRRL_1354_R1.fq.gz	Circinella_mucoroides_NRRL_1354_R2.fq.gz	Circinella_mucoroides_NRRL_1354.merge.fa	PSH126	NRRL_1354
Circinella_muscae_CBS_107.13T_R1.fq.gz	Circinella_muscae_CBS_107.13T_R2.fq.gz	Circinella_muscae_CBS_107.13T.merge.fa	PSH127	CBS_107.13T
Circinella_muscae_NRRL_1352_R1.fq.gz	Circinella_muscae_NRRL_1352_R2.fq.gz	Circinella_muscae_NRRL_1352.merge.fa	PSH128	NRRL_1352
Circinella_muscae_NRRL_1355_R1.fq.gz	Circinella_muscae_NRRL_1355_R2.fq.gz	Circinella_muscae_NRRL_1355.merge.fa	PSH129	NRRL_1355
Circinella_muscae_NRRL_1356_R1.fq.gz	Circinella_muscae_NRRL_1356_R2.fq.gz	Circinella_muscae_NRRL_1356.merge.fa	PSH130	NRRL_1356
Circinella_muscae_NRRL_1357_R1.fq.gz	Circinella_muscae_NRRL_1357_R2.fq.gz	Circinella_muscae_NRRL_1357.merge.fa	PSH131	NRRL_1357
Circinella_muscae_NRRL_1360_R1.fq.gz	Circinella_muscae_NRRL_1360_R2.fq.gz	Circinella_muscae_NRRL_1360.merge.fa	PSH132	NRRL_1360
Circinella_muscae_NRRL_1362_R1.fq.gz	Circinella_muscae_NRRL_1362_R2.fq.gz	Circinella_muscae_NRRL_1362.merge.fa	PSH133	NRRL_1362
Circinella_muscae_NRRL_1363_R1.fq.gz	Circinella_muscae_NRRL_1363_R2.fq.gz	Circinella_muscae_NRRL_1363.merge.fa	PSH134	NRRL_1363
Circinella_muscae_NRRL_1364_R1.fq.gz	Circinella_muscae_NRRL_1364_R2.fq.gz	Circinella_muscae_NRRL_1364.merge.fa	PSH135	NRRL_1364
Circinella_muscae_NRRL_1367_R1.fq.gz	Circinella_muscae_NRRL_1367_R2.fq.gz	Circinella_muscae_NRRL_1367.merge.fa	PSH136	NRRL_1367
Circinella_muscae_NRRL_2403_R1.fq.gz	Circinella_muscae_NRRL_2403_R2.fq.gz	Circinella_muscae_NRRL_2403.merge.fa	PSH137	NRRL_2403
Circinella_naumovii_NRRL_5846_R1.fq.gz	Circinella_naumovii_NRRL_5846_R2.fq.gz	Circinella_naumovii_NRRL_5846.merge.fa	PSH138	NRRL_5846
Circinella_rigida_NRRL_2341_R1.fq.gz	Circinella_rigida_NRRL_2341_R2.fq.gz	Circinella_rigida_NRRL_2341.merge.fa	PSH139	NRRL_2341
Circinella_simplex_CBS_142.35_R1.fq.gz	Circinella_simplex_CBS_142.35_R2.fq.gz	Circinella_simplex_CBS_142.35.merge.fa	PSH140	CBS_142.35
Circinella_simplex_van_Tieghem_NRRL_2407_R1.fq.gz	Circinella_simplex_van_Tieghem_NRRL_2407_R2.fq.gz	Circinella_simplex_van_Tieghem_NRRL_2407.merge.fa	PSH141	NRRL_2407
Circinella_tenella_NRRL_A-23557_R1.fq.gz	Circinella_tenella_NRRL_A-23557_R2.fq.gz	Circinella_tenella_NRRL_A-23557.merge.fa	PSH142	NRRL_A-23557
Circinella_umbellata_NRRL_1366_R1.fq.gz	Circinella_umbellata_NRRL_1366_R2.fq.gz	Circinella_umbellata_NRRL_1366.merge.fa	PSH143	NRRL_1366
Circinella_umbellata_NRRL_2417_R1.fq.gz	Circinella_umbellata_NRRL_2417_R2.fq.gz	Circinella_umbellata_NRRL_2417.merge.fa	PSH144	NRRL_2417
Circinella_umbellata_RSA_505+_R1.fq.gz	Circinella_umbellata_RSA_505+_R2.fq.gz	Circinella_umbellata_RSA_505+.merge.fa	PSH145	RSA_505_Plus
